Operator_Name,Facility_Name,Physical_Facility_Address,State,Truck,Chemical_Products,Petroleum_Products,Liquified_Gasses_Products,NGL,Biofuel,Vegetable_Oil,Waste,Liquid_Type_Detail,Capacity_Gallons,Lat,Lng
Bulk Transportation CO,,"11619 N Force Ave, Portland, OR 97217",OR,Y,Y,Y,,,,,,,,45.6041523,-122.6942061
Carry Transit,,"9500 Fullerton Ave, Franklin Park, IL 60131",IL,Y,,,,,,,,,,41.92244,-87.862626
Hunt Refining Company,,"177 Haney Rd, Heidelberg, MS 39439",MS,Y,,,,,,,,Liquified Asphalt,,31.8135928,-89.0137677
CITGO Petroleum Corporation,,"801 McCloskey Blvd, Tampa, FL 33605",FL,Y,,Y,,,,,,Gasoline|Diesel,,27.932903,-82.440841
VTTI,,"555 FL-401, Cape Canaveral, FL 32920",FL,Y,,Y,,,Y,,,Gasoline|Biodiesel|Ethanol|Fuel Oil|Diesel|Jet Fuel,119934000,28.4186841,-80.6152833
"Center Point Terminal Company, LLC",,"3101 Talleyrand Ave, Jacksonville, FL 32206",FL,Y,,Y,,,Y,,,Gasoline|Distillate|Biodiesel|Ethanol,47460000,30.3559912,-81.6253993
RJ Corman,,"370 Swinging Bridge Rd, Old Hickory, TN 37138",TN,Y,Y,Y,,,,,,,,36.2724361,-86.6636343
Monroe Terminal Company LLC,,"355 Harmon McDonald Rd, Monroe, LA 71202",LA,Y,,,,,,,,,,31,-92
"Calumet Specialty Products Partners, L.P.",,"3333 Midway Ave, Shreveport, LA 71109",LA,Y,,,,,,,,,,31,-92
"Calumet Specialty Products Partners, L.P",,"1756 Old Hwy 7, Cotton Valley, LA 71018",LA,Y,,,,,,,,,,32.7974027,-93.4151076
"Calumet Specialty Products Partners, L.P",,"10234 LA-157, Princeton, LA 71067",LA,Y,,,,,,,,,,32.5920936,-93.5114742
"Center Point Terminal Company, LLC",,"4303 Emmett Sanders Rd, Pine Bluff, AR 71601",AR,Y,Y,Y,,,,,,Fuel Oil|caustic soda,5292000,34.2560499,-91.9410216
Martin Midstream Partners L.P,,"7778 Dauphin Island Pkwy, Theodore, AL 36582",AL,Y,,,,,,,,,,30.5288048,-88.108462
LBC Tank Terminals,,"1725 LA-75, Sunshine, LA 70780",LA,Y,Y,Y,,,,,,Specialty chemicals|petroleum products|base oils,133140000,30.2864018,-91.1533348
MPLX,,"4006 LA-44, Mt Airy, LA 70076",LA,Y,,,,,,,,,,30.0542881,-90.64548
CN Cargoflo,,"8820 Keele St, Concord, ON L4K 2N2, Canada",,Y,Y,Y,,,,,,,,43.825987,-79.507229
Irving Oil,,"52 Station Ave, Searsport, ME 04974",ME,Y,,Y,,,,,,Gasoline|Kerosene|Ethanol|Diesel|Heating Oil,,44.4595909,-68.900041
Kinder Morgan,,"1588 Lancaster Highway Chester, SC 29706",SC,Y,Y,,,,,,,Specialty chemicals,,34.7308523,-81.1285872
US Oil-Cheboygan,,"311 N B St, Cheboygan, MI 49721",MI,Y,,,,,,,,,,45.644194,-84.4726507
Zenith Energy Management LLC,,"5501 NW Front Ave, Portland, OR 97210",OR,Y,,Y,,,Y,,,Distillate|Biodiesel|Aviation Gasoline|crude oil|Renewable Fuels,63764000,45.5648995,-122.7404324
Kinder Morgan,,"4901 Tremley Point Rd Linden, NJ 07036",NJ,Y,,Y,,,,,,Ethanol,21420000,40.6106133,-74.2214946
Kinder Morgan,,"1500 Greenleaf St, Charleston, SC 29405",SC,Y,Y,Y,,,,,,Specialty chemicals|petroleum products|Agricultural Products,71400000,34.176709,-80.8503177
TransMontaigne Partners LLC,,"20 Jackson St, New Albany, IN 47150",IN,Y,,,,,,,,,8442000,38.2716224,-85.8376518
Enterprise Products Partners L.P.,,"Red Gate Ln, Boligee, AL 35443",AL,Y,,Y,,,,,,,,32.454791,-88.121194
Waterfront Petroleum,,"5431 W Jefferson Ave, Detroit, MI 48209",MI,Y,,,,,,,,,,42.3104094,-83.0833253
Waterfront Petroleum,,"1071 Miller Rd, Dearborn, MI 48120",MI,Y,,,,,,,,,,42.2949663,-83.1447768
Golden Gate,,"500 Ireland Dr, Sparks, NV 89434",NV,Y,,,,,,,,,,39.5495676,-119.4974747
Bulkmatic Transport CO,,"2351 State St, Chicago Heights, IL 60411",IL,Y,Y,Y,,,,,,,,41.494662,-87.6160444
Bristol Alliance Fuels,,106 North Pacific Ct. Dillingham AK 99576,AK,Y,,,,,,,,,,59.0364952,-158.4820088
CIRCON Environmental,,"0642230000055, La Porte, TX 77571",TX,Y,Y,Y,,Y,,,,Diesel|Acids|blending stocks|Lube Oils|petrochemical|Alcohols|Olefins|Vacuum gas oil|Light cycle oil|pyrolysis gas oil|Marine fuels,,31,-100
Bay Ltd.,,"467 E Beasley Ave, Aransas Pass, TX 78336",TX,Y,,,,,,,,,,27.8777856,-97.156528
Hoffman Transportation,,"935 Industrial Dr, Old Hickory, TN 37138",TN,Y,Y,Y,,,,,,,,36.2641495,-86.6603407
Kinder Morgan,,"4310 Pendola Point Rd, Tampa, FL 33619",FL,Y,,,,,,,,,,27.9021648,-82.409457
Kinder Morgan,,"4145 LA-73, Geismar, LA 70734",LA,Y,,Y,,,,,,,28172000,30.2038376,-91.0227919
Kinder Morgan,,"2426 S. Wharf St. St. Louis, MO 63104",MO,Y,Y,,,,,,,,4626000,38.6021426,-90.1951534
Valero,,"Old Texas 48, Brownsville, TX 78521",TX,Y,,,,,,,,,,25.9223579,-97.4799118
Trans Montaigne,,"511 S Clubbs St, Pensacola, FL 32502",FL,Y,,,,,,,,,,30.4058876,-87.2249922
Titan Fuel,,"24581 Port Rd, Harlingen, TX 78550",TX,Y,,,,,,,,,21000000,26.2052343,-97.5979106
Sunoco LP,,"9351 Old State Highway 48 Brownsville, TX 78521",TX,Y,,Y,,,,,,Gasoline|Ethanol|Diesel,23520000,25.9586593,-97.3914371
"Firebird Bulk Carriers, Inc.",,"9100 Old Port of Brownsville, TX-48, Brownsville, TX 78521",TX,Y,,,,,,,,,,31,-100
Heniff Transportation,,"4629 Lee Hwy, Marion, VA 24354",VA,Y,,,,,,,,,,36.8245442,-81.5363362
Papco,,"407 Jefferson Ave, Newport News, VA 23607",VA,Y,,,,,,,,,,36.966956,-76.4123938
Norfolk Southern TBT (RSI Logistics),,"849 Tennessee Ave, Knoxville, TN 37917",TN,Y,Y,Y,,,,,,,,35.9848904,-83.946761
JET Infrastructure,,"2900 SE 14th Ave, Fort Lauderdale, FL 33316",FL,Y,,,,,,,,,,26.0958565,-80.1285165
Heniff Transportation,,"3020 Kathleen Rd, Lakeland, FL 33810",FL,Y,,,,,,,,,,28.0777805,-81.9935132
Buckeye,,"5150 Virginia Ave, North Charleston, SC 29405",SC,Y,,,,,,,,,,32.891869,-79.9729706
Epic Midstream,,"7 Foundation Dr, Savannah, GA 31408",GA,Y,,,,,,,,,,32.1053891,-81.1335844
Retif Oil and Fuel,,"527 Destrehan Ave, Harvey, LA 70058",LA,Y,,,,,,,,,,29.9050374,-90.0832004
Blakely Terminal,,1257 Cochrane Causeway Mobile AL 36601,AL,Y,,,,,,,,,,30.761124,-88.148193
Carry Transit,,"2459 Channel Ave, Memphis, TN 38106",TN,Y,,,,,,,,,,35.083676,-90.1218128
Apex,,"200 Viaduct Rd, Chickasaw, AL 36611",AL,Y,,,,,,,,,,30.7639075,-88.0731979
Alabama Bulk,,195 Cochrane Causeway P. O. Box 2784 Mobile AL 36633,AL,Y,,,,,,,,,,33.765746,-88.221556
Maverick,,4669 Joe Fulton Intl TC Corpus Christi TX 78402-1903,TX,N,,,,,,,,,,31,-100
Petro Marine Services,,"3560 N Douglas Hwy, Juneau, AK 99801",AK,Y,,,,,,,,,,58.2981072,-134.435835
Targa,,"2628 Marine View Dr, Tacoma, WA 98422",WA,Y,,Y,,,Y,,,Distillate|Biodiesel|Ethanol|Liquified Asphalt|Diesel|Oil,63000000,47.2776659,-122.3839504
K-Solv,,"1015 Lakeside Dr, Channelview, TX 77530",TX,Y,,,,,,,,,,29.7686826,-95.1036513
Martin Midstream,,"1300 Coastwide Rd, Galveston, TX 77554",TX,Y,,,,,,,,,,31,-100
Petro Marine Services,,"104 E Marine Way, Kodiak, AK 99615",AK,Y,,,,,,,,,,57.7912852,-152.3921768
Miller,,"206 Telegraph Rd, Prichard, AL 36610",AL,Y,,,,,,,,,,30.7354009,-88.0651918
Quality Transload Inc,,"19929 77th Ave S, Kent, WA 98032",WA,Y,Y,Y,,,,,,,,47.4234135,-122.2395547
RJ Corman,,"515 Pine Valley Rd, Diboll, TX 75941",TX,Y,Y,Y,,,,,,,,31.1937433,-94.7923255
Heniff,,"1043 W Amelia St, Orlando, FL 32805",FL,Y,,,,,,,,,,28.5494251,-81.3937964
